date,order_id,product,quantity,amount,status
2026-03-15,ORD-1041,Długopis metalowy,2,39.98,completed
2026-03-15,ORD-1042,Kubek ceramiczny,1,49.99,completed
2026-03-15,ORD-1043,Notatnik A5,1,29.99,completed
2026-03-15,ORD-1044,Torba bawełniana,3,119.97,completed
2026-03-15,ORD-1045,Kubek ceramiczny,1,49.99,completed
2026-03-15,ORD-1046,Notatnik A5,1,29.99,completed
2026-03-15,ORD-1047,Długopis metalowy,2,39.98,completed
2026-03-15,ORD-1048,Notatnik A5,2,59.98,completed
2026-03-15,ORD-1049,Długopis metalowy,4,79.96,completed
2026-03-15,ORD-1050,Długopis metalowy,2,39.98,completed
2026-03-15,ORD-1051,Notatnik A5,3,89.97,completed
2026-03-15,ORD-1052,Długopis metalowy,4,79.96,completed
2026-03-15,ORD-1053,Kubek ceramiczny,1,49.99,completed
2026-03-15,ORD-1054,Długopis metalowy,2,39.98,completed
2026-03-15,ORD-1055,Koszulka Premium,1,79.99,completed
2026-03-16,ORD-1056,Kubek ceramiczny,1,49.99,completed
2026-03-16,ORD-1057,Torba bawełniana,1,39.99,completed
2026-03-16,ORD-1058,Torba bawełniana,4,159.96,completed
2026-03-16,ORD-1059,Kubek ceramiczny,4,199.96,completed
2026-03-16,ORD-1060,Notatnik A5,4,119.96,completed
2026-03-16,ORD-1061,Koszulka Premium,4,319.96,completed
2026-03-16,ORD-1062,Notatnik A5,4,119.96,completed
2026-03-16,ORD-1063,Koszulka Premium,1,79.99,completed
2026-03-16,ORD-1064,Torba bawełniana,1,39.99,completed
2026-03-16,ORD-1065,Kubek ceramiczny,4,199.96,completed
2026-03-16,ORD-1066,Kubek ceramiczny,3,149.97,completed
2026-03-16,ORD-1067,Koszulka Premium,4,319.96,completed
2026-03-16,ORD-1068,Długopis metalowy,1,19.99,completed
2026-03-16,ORD-1069,Długopis metalowy,1,19.99,completed
2026-03-16,ORD-1070,Kubek ceramiczny,2,99.98,completed
2026-03-16,ORD-1071,Notatnik A5,2,59.98,completed
2026-03-16,ORD-1072,Koszulka Premium,2,159.98,completed
2026-03-16,ORD-1073,Notatnik A5,3,89.97,completed
2026-03-16,ORD-1074,Notatnik A5,3,89.97,completed
2026-03-16,ORD-1075,Długopis metalowy,4,79.96,completed
2026-03-16,ORD-1076,Torba bawełniana,2,79.98,completed
2026-03-16,ORD-1077,Długopis metalowy,1,19.99,completed
2026-03-16,ORD-1078,Koszulka Premium,1,79.99,completed
2026-03-16,ORD-1079,Długopis metalowy,2,39.98,completed
2026-03-16,ORD-1080,Długopis metalowy,1,19.99,completed
2026-03-16,ORD-1081,Koszulka Premium,1,79.99,completed
2026-03-17,ORD-1082,Notatnik A5,1,29.99,completed
2026-03-17,ORD-1083,Długopis metalowy,2,39.98,completed
2026-03-17,ORD-1084,Koszulka Premium,1,79.99,completed
2026-03-17,ORD-1085,Długopis metalowy,3,59.97,completed
2026-03-17,ORD-1086,Kubek ceramiczny,3,149.97,completed
2026-03-17,ORD-1087,Notatnik A5,2,59.98,completed
2026-03-17,ORD-1088,Torba bawełniana,4,159.96,completed
2026-03-17,ORD-1089,Koszulka Premium,1,79.99,completed
2026-03-17,ORD-1090,Długopis metalowy,1,19.99,completed
2026-03-17,ORD-1091,Kubek ceramiczny,3,149.97,completed
2026-03-17,ORD-1092,Torba bawełniana,1,39.99,completed
2026-03-17,ORD-1093,Torba bawełniana,3,119.97,completed
2026-03-17,ORD-1094,Długopis metalowy,3,59.97,completed
2026-03-17,ORD-1095,Długopis metalowy,1,19.99,completed
2026-03-17,ORD-1096,Długopis metalowy,3,59.97,completed
2026-03-17,ORD-1097,Koszulka Premium,2,159.98,completed
2026-03-17,ORD-1098,Koszulka Premium,2,159.98,completed
2026-03-17,ORD-1099,Długopis metalowy,2,39.98,completed
2026-03-17,ORD-1100,Kubek ceramiczny,3,149.97,completed
2026-03-17,ORD-1101,Torba bawełniana,1,39.99,completed
2026-03-17,ORD-1102,Notatnik A5,3,89.97,completed
2026-03-17,ORD-1103,Torba bawełniana,2,79.98,completed
2026-03-17,ORD-1104,Torba bawełniana,2,79.98,completed
2026-03-17,ORD-1105,Długopis metalowy,4,79.96,completed
2026-03-17,ORD-1106,Koszulka Premium,1,79.99,completed
2026-03-17,ORD-1107,Kubek ceramiczny,1,49.99,completed
2026-03-17,ORD-1108,Długopis metalowy,2,39.98,completed
2026-03-17,ORD-1109,Koszulka Premium,3,239.97,completed
2026-03-17,ORD-1110,Koszulka Premium,3,239.97,completed
2026-03-17,ORD-1111,Kubek ceramiczny,1,49.99,completed
2026-03-17,ORD-1112,Długopis metalowy,4,79.96,completed
2026-03-17,ORD-1113,Kubek ceramiczny,2,99.98,completed
2026-03-18,ORD-1114,Kubek ceramiczny,4,-199.96,refunded
2026-03-18,ORD-1115,Torba bawełniana,4,159.96,completed
2026-03-18,ORD-1116,Kubek ceramiczny,3,149.97,completed
2026-03-18,ORD-1117,Koszulka Premium,4,319.96,completed
2026-03-18,ORD-1118,Notatnik A5,2,59.98,completed
2026-03-18,ORD-1119,Notatnik A5,3,89.97,completed
2026-03-18,ORD-1120,Kubek ceramiczny,2,-99.98,refunded
2026-03-18,ORD-1121,Kubek ceramiczny,4,199.96,completed
2026-03-18,ORD-1122,Koszulka Premium,3,239.97,completed
2026-03-18,ORD-1123,Długopis metalowy,4,79.96,completed
2026-03-18,ORD-1124,Długopis metalowy,3,59.97,completed
2026-03-18,ORD-1125,Koszulka Premium,3,239.97,completed
2026-03-18,ORD-1126,Torba bawełniana,1,39.99,completed
2026-03-18,ORD-1127,Notatnik A5,3,89.97,completed
2026-03-18,ORD-1128,Torba bawełniana,4,159.96,completed
2026-03-18,ORD-1129,Długopis metalowy,1,19.99,completed
2026-03-18,ORD-1130,Długopis metalowy,2,39.98,completed
2026-03-18,ORD-1131,Notatnik A5,1,29.99,completed
2026-03-18,ORD-1132,Długopis metalowy,2,39.98,completed
2026-03-18,ORD-1133,Koszulka Premium,3,239.97,completed
2026-03-18,ORD-1134,Koszulka Premium,3,239.97,completed
2026-03-18,ORD-1135,Notatnik A5,3,89.97,completed
2026-03-18,ORD-1136,Torba bawełniana,2,79.98,completed
2026-03-18,ORD-1137,Notatnik A5,2,59.98,completed
2026-03-18,ORD-1138,Torba bawełniana,4,159.96,completed
2026-03-18,ORD-1139,Koszulka Premium,3,239.97,completed
2026-03-18,ORD-1140,Notatnik A5,3,89.97,completed
2026-03-18,ORD-1141,Notatnik A5,2,59.98,completed
2026-03-18,ORD-1142,Kubek ceramiczny,1,49.99,completed
2026-03-18,ORD-1143,Długopis metalowy,3,59.97,completed
2026-03-18,ORD-1144,Kubek ceramiczny,3,149.97,completed
2026-03-18,ORD-1145,Kubek ceramiczny,2,-99.98,refunded
2026-03-18,ORD-1146,Kubek ceramiczny,4,199.96,completed
2026-03-18,ORD-1147,Koszulka Premium,4,319.96,completed
2026-03-18,ORD-1148,Długopis metalowy,2,39.98,completed
2026-03-18,ORD-1149,Notatnik A5,4,119.96,completed
2026-03-18,ORD-1150,Kubek ceramiczny,1,49.99,completed
2026-03-18,ORD-1151,Koszulka Premium,4,319.96,completed
2026-03-18,ORD-1152,Długopis metalowy,4,79.96,completed
2026-03-18,ORD-1153,Kubek ceramiczny,1,49.99,completed
2026-03-18,ORD-1154,Notatnik A5,3,89.97,completed
2026-03-18,ORD-1155,Notatnik A5,4,119.96,completed
2026-03-18,ORD-1156,Długopis metalowy,4,79.96,completed
2026-03-18,ORD-1157,Notatnik A5,4,119.96,completed
2026-03-18,ORD-1158,Kubek ceramiczny,3,149.97,completed
2026-03-18,ORD-1159,Długopis metalowy,4,79.96,completed
2026-03-18,ORD-1160,Torba bawełniana,4,159.96,completed
2026-03-18,ORD-1161,Torba bawełniana,2,79.98,completed
2026-03-18,ORD-1162,Torba bawełniana,1,39.99,completed
2026-03-18,ORD-1163,Kubek ceramiczny,4,199.96,completed
2026-03-19,ORD-1164,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1165,Torba bawełniana,4,159.96,completed
2026-03-19,ORD-1166,Kubek ceramiczny,4,199.96,completed
2026-03-19,ORD-1167,Długopis metalowy,1,19.99,completed
2026-03-19,ORD-1168,Długopis metalowy,4,79.96,completed
2026-03-19,ORD-1169,Torba bawełniana,3,119.97,completed
2026-03-19,ORD-1170,Notatnik A5,2,59.98,completed
2026-03-19,ORD-1171,Torba bawełniana,4,159.96,completed
2026-03-19,ORD-1172,Notatnik A5,3,89.97,completed
2026-03-19,ORD-1173,Notatnik A5,2,59.98,completed
2026-03-19,ORD-1174,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1175,Długopis metalowy,1,19.99,completed
2026-03-19,ORD-1176,Notatnik A5,2,59.98,completed
2026-03-19,ORD-1177,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1178,Torba bawełniana,2,79.98,completed
2026-03-19,ORD-1179,Torba bawełniana,4,159.96,completed
2026-03-19,ORD-1180,Notatnik A5,3,89.97,completed
2026-03-19,ORD-1181,Notatnik A5,1,29.99,completed
2026-03-19,ORD-1182,Koszulka Premium,3,239.97,completed
2026-03-19,ORD-1183,Koszulka Premium,1,79.99,completed
2026-03-19,ORD-1184,Kubek ceramiczny,2,99.98,completed
2026-03-19,ORD-1185,Długopis metalowy,2,39.98,completed
2026-03-19,ORD-1186,Notatnik A5,1,29.99,completed
2026-03-19,ORD-1187,Kubek ceramiczny,4,199.96,completed
2026-03-19,ORD-1188,Torba bawełniana,2,79.98,completed
2026-03-19,ORD-1189,Koszulka Premium,2,159.98,completed
2026-03-19,ORD-1190,Koszulka Premium,1,79.99,completed
2026-03-19,ORD-1191,Długopis metalowy,4,79.96,completed
2026-03-19,ORD-1192,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1193,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1194,Torba bawełniana,1,39.99,completed
2026-03-19,ORD-1195,Długopis metalowy,1,19.99,completed
2026-03-19,ORD-1196,Notatnik A5,3,89.97,completed
2026-03-19,ORD-1197,Torba bawełniana,1,39.99,completed
2026-03-19,ORD-1198,Notatnik A5,1,29.99,completed
2026-03-19,ORD-1199,Torba bawełniana,4,159.96,completed
2026-03-19,ORD-1200,Notatnik A5,2,59.98,completed
2026-03-19,ORD-1201,Torba bawełniana,4,159.96,completed
2026-03-19,ORD-1202,Długopis metalowy,3,59.97,completed
2026-03-19,ORD-1203,Kubek ceramiczny,1,49.99,completed
2026-03-19,ORD-1204,Notatnik A5,2,59.98,completed
2026-03-19,ORD-1205,Długopis metalowy,4,79.96,completed
2026-03-19,ORD-1206,Notatnik A5,3,89.97,completed
2026-03-19,ORD-1207,Kubek ceramiczny,3,149.97,completed
2026-03-19,ORD-1208,Torba bawełniana,3,119.97,completed
2026-03-19,ORD-1209,Torba bawełniana,1,39.99,completed
2026-03-19,ORD-1210,Kubek ceramiczny,1,49.99,completed
2026-03-20,ORD-1211,Notatnik A5,2,59.98,completed
2026-03-20,ORD-1212,Notatnik A5,4,119.96,completed
2026-03-20,ORD-1213,Koszulka Premium,3,239.97,completed
2026-03-20,ORD-1214,Kubek ceramiczny,3,149.97,completed
2026-03-20,ORD-1215,Torba bawełniana,4,159.96,completed
2026-03-20,ORD-1216,Torba bawełniana,4,159.96,completed
2026-03-20,ORD-1217,Długopis metalowy,3,59.97,completed
2026-03-20,ORD-1218,Notatnik A5,3,89.97,completed
2026-03-20,ORD-1219,Kubek ceramiczny,1,49.99,completed
2026-03-20,ORD-1220,Torba bawełniana,1,39.99,completed
2026-03-20,ORD-1221,Kubek ceramiczny,2,99.98,completed
2026-03-20,ORD-1222,Notatnik A5,3,89.97,completed
2026-03-20,ORD-1223,Długopis metalowy,3,59.97,completed
2026-03-20,ORD-1224,Kubek ceramiczny,3,149.97,completed
2026-03-20,ORD-1225,Kubek ceramiczny,3,-149.97,refunded
2026-03-20,ORD-1226,Długopis metalowy,2,39.98,completed
2026-03-20,ORD-1227,Koszulka Premium,3,239.97,completed
2026-03-20,ORD-1228,Kubek ceramiczny,4,199.96,completed
2026-03-20,ORD-1229,Koszulka Premium,3,239.97,completed
2026-03-20,ORD-1230,Notatnik A5,3,89.97,completed
2026-03-20,ORD-1231,Koszulka Premium,3,239.97,completed
2026-03-20,ORD-1232,Notatnik A5,1,29.99,completed
2026-03-20,ORD-1233,Notatnik A5,4,119.96,completed
2026-03-20,ORD-1234,Koszulka Premium,2,159.98,completed
2026-03-20,ORD-1235,Długopis metalowy,3,59.97,completed
2026-03-20,ORD-1236,Kubek ceramiczny,1,49.99,completed
2026-03-20,ORD-1237,Notatnik A5,2,59.98,completed
2026-03-20,ORD-1238,Notatnik A5,4,119.96,completed
2026-03-20,ORD-1239,Torba bawełniana,4,159.96,completed
2026-03-20,ORD-1240,Długopis metalowy,1,19.99,completed
2026-03-20,ORD-1241,Koszulka Premium,2,159.98,completed
2026-03-20,ORD-1242,Torba bawełniana,1,39.99,completed
2026-03-20,ORD-1243,Kubek ceramiczny,1,49.99,completed
2026-03-20,ORD-1244,Notatnik A5,4,119.96,completed
2026-03-20,ORD-1245,Notatnik A5,3,-89.97,refunded
2026-03-20,ORD-1246,Torba bawełniana,3,119.97,completed
2026-03-20,ORD-1247,Notatnik A5,1,29.99,completed
2026-03-20,ORD-1248,Torba bawełniana,2,79.98,completed
2026-03-21,ORD-1249,Kubek ceramiczny,2,99.98,completed
2026-03-21,ORD-1250,Kubek ceramiczny,1,49.99,completed
2026-03-21,ORD-1251,Torba bawełniana,3,119.97,completed
2026-03-21,ORD-1252,Notatnik A5,3,89.97,completed
2026-03-21,ORD-1253,Torba bawełniana,4,159.96,completed
2026-03-21,ORD-1254,Długopis metalowy,1,19.99,completed
2026-03-21,ORD-1255,Torba bawełniana,3,-119.97,refunded
2026-03-21,ORD-1256,Kubek ceramiczny,1,49.99,completed
2026-03-21,ORD-1257,Torba bawełniana,1,39.99,completed
2026-03-21,ORD-1258,Kubek ceramiczny,4,199.96,completed
2026-03-21,ORD-1259,Notatnik A5,3,89.97,completed
2026-03-21,ORD-1260,Długopis metalowy,4,79.96,completed
2026-03-21,ORD-1261,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1262,Notatnik A5,3,89.97,completed
2026-03-21,ORD-1263,Koszulka Premium,2,159.98,completed
2026-03-21,ORD-1264,Notatnik A5,3,89.97,completed
2026-03-21,ORD-1265,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1266,Torba bawełniana,3,119.97,completed
2026-03-21,ORD-1267,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1268,Długopis metalowy,4,79.96,completed
2026-03-21,ORD-1269,Kubek ceramiczny,3,149.97,completed
2026-03-21,ORD-1270,Notatnik A5,4,119.96,completed
2026-03-21,ORD-1271,Kubek ceramiczny,3,149.97,completed
2026-03-21,ORD-1272,Torba bawełniana,4,159.96,completed
2026-03-21,ORD-1273,Notatnik A5,1,-29.99,refunded
2026-03-21,ORD-1274,Długopis metalowy,2,39.98,completed
2026-03-21,ORD-1275,Torba bawełniana,1,39.99,completed
2026-03-21,ORD-1276,Koszulka Premium,2,159.98,completed
2026-03-21,ORD-1277,Koszulka Premium,4,319.96,completed
2026-03-21,ORD-1278,Kubek ceramiczny,4,199.96,completed
2026-03-21,ORD-1279,Torba bawełniana,3,119.97,completed
2026-03-21,ORD-1280,Notatnik A5,4,119.96,completed
2026-03-21,ORD-1281,Długopis metalowy,2,39.98,completed
2026-03-21,ORD-1282,Długopis metalowy,2,39.98,completed
2026-03-21,ORD-1283,Torba bawełniana,4,159.96,completed
2026-03-21,ORD-1284,Długopis metalowy,3,59.97,completed
2026-03-21,ORD-1285,Torba bawełniana,3,119.97,completed
2026-03-21,ORD-1286,Długopis metalowy,4,79.96,completed
2026-03-21,ORD-1287,Notatnik A5,4,119.96,completed
2026-03-21,ORD-1288,Długopis metalowy,4,79.96,completed
2026-03-21,ORD-1289,Torba bawełniana,2,79.98,completed
2026-03-21,ORD-1290,Kubek ceramiczny,4,199.96,completed
2026-03-21,ORD-1291,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1292,Notatnik A5,4,119.96,completed
2026-03-21,ORD-1293,Kubek ceramiczny,4,199.96,completed
2026-03-21,ORD-1294,Kubek ceramiczny,3,149.97,completed
2026-03-21,ORD-1295,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1296,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1297,Notatnik A5,2,59.98,completed
2026-03-21,ORD-1298,Torba bawełniana,3,119.97,completed
2026-03-21,ORD-1299,Notatnik A5,1,29.99,completed
2026-03-21,ORD-1300,Długopis metalowy,4,79.96,completed
2026-03-22,ORD-1301,Notatnik A5,1,29.99,completed
2026-03-22,ORD-1302,Kubek ceramiczny,3,149.97,completed
2026-03-22,ORD-1303,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1304,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1305,Torba bawełniana,1,39.99,completed
2026-03-22,ORD-1306,Koszulka Premium,3,239.97,completed
2026-03-22,ORD-1307,Notatnik A5,2,59.98,completed
2026-03-22,ORD-1308,Notatnik A5,2,59.98,completed
2026-03-22,ORD-1309,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1310,Kubek ceramiczny,4,199.96,completed
2026-03-22,ORD-1311,Kubek ceramiczny,2,99.98,completed
2026-03-22,ORD-1312,Torba bawełniana,4,159.96,completed
2026-03-22,ORD-1313,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1314,Długopis metalowy,2,39.98,completed
2026-03-22,ORD-1315,Torba bawełniana,3,119.97,completed
2026-03-22,ORD-1316,Notatnik A5,3,89.97,completed
2026-03-22,ORD-1317,Torba bawełniana,2,79.98,completed
2026-03-22,ORD-1318,Notatnik A5,1,29.99,completed
2026-03-22,ORD-1319,Długopis metalowy,3,59.97,completed
2026-03-22,ORD-1320,Torba bawełniana,1,39.99,completed
2026-03-22,ORD-1321,Notatnik A5,3,-89.97,refunded
2026-03-22,ORD-1322,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1323,Torba bawełniana,2,79.98,completed
2026-03-22,ORD-1324,Torba bawełniana,2,79.98,completed
2026-03-22,ORD-1325,Długopis metalowy,3,59.97,completed
2026-03-22,ORD-1326,Kubek ceramiczny,1,49.99,completed
2026-03-22,ORD-1327,Koszulka Premium,3,239.97,completed
2026-03-22,ORD-1328,Koszulka Premium,3,239.97,completed
2026-03-22,ORD-1329,Koszulka Premium,3,239.97,completed
2026-03-22,ORD-1330,Notatnik A5,2,59.98,completed
2026-03-22,ORD-1331,Długopis metalowy,3,59.97,completed
2026-03-22,ORD-1332,Torba bawełniana,2,79.98,completed
2026-03-22,ORD-1333,Notatnik A5,3,89.97,completed
2026-03-22,ORD-1334,Torba bawełniana,1,39.99,completed
2026-03-22,ORD-1335,Koszulka Premium,2,159.98,completed
2026-03-22,ORD-1336,Kubek ceramiczny,4,199.96,completed
2026-03-22,ORD-1337,Długopis metalowy,3,59.97,completed
2026-03-22,ORD-1338,Notatnik A5,1,29.99,completed
2026-03-22,ORD-1339,Koszulka Premium,4,319.96,completed
2026-03-22,ORD-1340,Torba bawełniana,4,159.96,completed
2026-03-22,ORD-1341,Torba bawełniana,1,39.99,completed
2026-03-22,ORD-1342,Notatnik A5,1,29.99,completed
2026-03-22,ORD-1343,Długopis metalowy,3,59.97,completed
2026-03-22,ORD-1344,Kubek ceramiczny,1,49.99,completed
2026-03-22,ORD-1345,Notatnik A5,3,89.97,completed
2026-03-22,ORD-1346,Koszulka Premium,2,159.98,completed
2026-03-22,ORD-1347,Koszulka Premium,3,239.97,completed
2026-03-22,ORD-1348,Koszulka Premium,1,79.99,completed
2026-03-22,ORD-1349,Długopis metalowy,2,39.98,completed
2026-03-22,ORD-1350,Torba bawełniana,4,159.96,completed
2026-03-22,ORD-1351,Kubek ceramiczny,4,199.96,completed
2026-03-22,ORD-1352,Notatnik A5,4,119.96,completed
2026-03-22,ORD-1353,Torba bawełniana,1,39.99,completed
2026-03-22,ORD-1354,Kubek ceramiczny,4,199.96,completed
2026-03-22,ORD-1355,Kubek ceramiczny,3,149.97,completed
2026-03-22,ORD-1356,Torba bawełniana,3,119.97,completed
2026-03-23,ORD-1357,Kubek ceramiczny,1,49.99,completed
2026-03-23,ORD-1358,Notatnik A5,1,29.99,completed
2026-03-23,ORD-1359,Długopis metalowy,1,19.99,completed
2026-03-23,ORD-1360,Torba bawełniana,2,79.98,completed
2026-03-23,ORD-1361,Długopis metalowy,2,39.98,completed
2026-03-23,ORD-1362,Długopis metalowy,2,39.98,completed
2026-03-23,ORD-1363,Kubek ceramiczny,3,149.97,completed
2026-03-23,ORD-1364,Długopis metalowy,1,19.99,completed
2026-03-23,ORD-1365,Kubek ceramiczny,2,99.98,completed
2026-03-23,ORD-1366,Kubek ceramiczny,1,49.99,completed
2026-03-23,ORD-1367,Koszulka Premium,2,-159.98,refunded
2026-03-23,ORD-1368,Kubek ceramiczny,3,-149.97,refunded
2026-03-23,ORD-1369,Torba bawełniana,1,39.99,completed
2026-03-23,ORD-1370,Notatnik A5,1,29.99,completed
2026-03-23,ORD-1371,Notatnik A5,4,119.96,completed
2026-03-23,ORD-1372,Długopis metalowy,1,19.99,completed
2026-03-23,ORD-1373,Kubek ceramiczny,1,49.99,completed
2026-03-23,ORD-1374,Długopis metalowy,3,59.97,completed
2026-03-23,ORD-1375,Koszulka Premium,1,79.99,completed
2026-03-23,ORD-1376,Notatnik A5,4,119.96,completed
2026-03-23,ORD-1377,Notatnik A5,4,119.96,completed
2026-03-23,ORD-1378,Koszulka Premium,3,239.97,completed
2026-03-23,ORD-1379,Koszulka Premium,2,159.98,completed
2026-03-23,ORD-1380,Długopis metalowy,3,59.97,completed
2026-03-23,ORD-1381,Długopis metalowy,3,59.97,completed
2026-03-23,ORD-1382,Długopis metalowy,4,79.96,completed
2026-03-23,ORD-1383,Koszulka Premium,2,159.98,completed
2026-03-23,ORD-1384,Kubek ceramiczny,4,199.96,completed
2026-03-23,ORD-1385,Notatnik A5,4,119.96,completed
2026-03-23,ORD-1386,Koszulka Premium,3,239.97,completed
2026-03-23,ORD-1387,Torba bawełniana,3,119.97,completed
2026-03-23,ORD-1388,Notatnik A5,1,29.99,completed
2026-03-23,ORD-1389,Koszulka Premium,1,79.99,completed
2026-03-24,ORD-1390,Torba bawełniana,2,79.98,completed
2026-03-24,ORD-1391,Długopis metalowy,3,59.97,completed
2026-03-24,ORD-1392,Notatnik A5,3,89.97,completed
2026-03-24,ORD-1393,Notatnik A5,1,29.99,completed
2026-03-24,ORD-1394,Długopis metalowy,3,59.97,completed
2026-03-24,ORD-1395,Długopis metalowy,2,39.98,completed
2026-03-24,ORD-1396,Notatnik A5,2,59.98,completed
2026-03-24,ORD-1397,Torba bawełniana,3,119.97,completed
2026-03-24,ORD-1398,Torba bawełniana,2,79.98,completed
2026-03-24,ORD-1399,Długopis metalowy,1,19.99,completed
2026-03-24,ORD-1400,Torba bawełniana,1,39.99,completed
2026-03-24,ORD-1401,Torba bawełniana,3,119.97,completed
2026-03-24,ORD-1402,Kubek ceramiczny,2,99.98,completed
2026-03-24,ORD-1403,Notatnik A5,1,29.99,completed
2026-03-24,ORD-1404,Koszulka Premium,1,79.99,completed
2026-03-24,ORD-1405,Kubek ceramiczny,4,199.96,completed
2026-03-24,ORD-1406,Torba bawełniana,2,79.98,completed
2026-03-24,ORD-1407,Torba bawełniana,1,39.99,completed
2026-03-24,ORD-1408,Kubek ceramiczny,2,99.98,completed
2026-03-24,ORD-1409,Koszulka Premium,1,79.99,completed
2026-03-24,ORD-1410,Notatnik A5,4,119.96,completed
2026-03-24,ORD-1411,Notatnik A5,3,89.97,completed
2026-03-24,ORD-1412,Długopis metalowy,1,19.99,completed
2026-03-24,ORD-1413,Koszulka Premium,3,239.97,completed
2026-03-24,ORD-1414,Długopis metalowy,4,79.96,completed
2026-03-24,ORD-1415,Torba bawełniana,1,39.99,completed
2026-03-24,ORD-1416,Długopis metalowy,1,-19.99,refunded
2026-03-24,ORD-1417,Torba bawełniana,2,79.98,completed
2026-03-24,ORD-1418,Torba bawełniana,3,119.97,completed
2026-03-24,ORD-1419,Koszulka Premium,4,319.96,completed
2026-03-24,ORD-1420,Kubek ceramiczny,2,99.98,completed
2026-03-24,ORD-1421,Kubek ceramiczny,3,149.97,completed
2026-03-24,ORD-1422,Koszulka Premium,4,-319.96,refunded
2026-03-24,ORD-1423,Koszulka Premium,3,239.97,completed
2026-03-24,ORD-1424,Długopis metalowy,4,79.96,completed
2026-03-24,ORD-1425,Notatnik A5,3,89.97,completed
2026-03-24,ORD-1426,Koszulka Premium,3,239.97,completed
2026-03-24,ORD-1427,Długopis metalowy,4,79.96,completed
2026-03-24,ORD-1428,Torba bawełniana,1,39.99,completed
2026-03-24,ORD-1429,Koszulka Premium,2,159.98,completed
2026-03-24,ORD-1430,Notatnik A5,1,29.99,completed
2026-03-24,ORD-1431,Torba bawełniana,3,119.97,completed
2026-03-24,ORD-1432,Kubek ceramiczny,1,49.99,completed
